URI,DNS Record,DNS Value
acquisory.com,A,170.178.144.136
acquisory.com,MX,0 acquisory-com.mail.protection.outlook.com.
acquisory.com,NS,ns1.chinetworks.com.
acquisory.com,NS,ns2.chinetworks.com.
acquisory.com,SOA,ns1.chinetworks.com. support.chinetworks.com. 2025120100 10800 3600 86400 3600
acquisory.com,TXT,"MS=ms25742507"
acquisory.com,TXT,"google-site-verification=_mrE5j-E6TzVvTVDCZ19VeMhhadKvFfOtqVHQ29JO7w"
acquisory.com,TXT,"v=spf1 include:spf.protection.outlook.com -all"
contact-management.acquisory.com,A,170.178.144.136
webmail.acquisory.com,A,40.104.16.226
webmail.acquisory.com,A,40.104.16.242
webmail.acquisory.com,A,40.104.46.34
webmail.acquisory.com,A,40.104.47.98
webmail.acquisory.com,A,52.96.111.114
webmail.acquisory.com,A,52.96.111.98
webmail.acquisory.com,A,52.96.19.82
webmail.acquisory.com,A,52.96.88.18
webmail.acquisory.com,AAAA,2603:1036:207:457::2
webmail.acquisory.com,AAAA,2603:1036:302:4156::2
webmail.acquisory.com,AAAA,2603:1036:302:415b::2
webmail.acquisory.com,AAAA,2603:1036:302:415d::2
webmail.acquisory.com,AAAA,2603:1036:302:4835::2
webmail.acquisory.com,AAAA,2603:1036:302:505c::2
webmail.acquisory.com,AAAA,2603:1036:302:505e::2
webmail.acquisory.com,AAAA,2603:1036:302:505f::2
webmail.acquisory.com,CNAME,acdcatm.outlook.mira.tm.svc.cloud.microsoft.
webmail.acquisory.com,CNAME,atm.outlook.mira.tm.svc.cloud.microsoft.
webmail.acquisory.com,CNAME,mail.office365.com.
webmail.acquisory.com,CNAME,outlook.cloud.microsoft.
webmail.acquisory.com,CNAME,outlook.office365.com.
