URI,DNS Record,DNS Value
acquisory.com,A,170.178.144.136
acquisory.com,MX,0 acquisory-com.mail.protection.outlook.com.
acquisory.com,NS,ns1.chinetworks.com.
acquisory.com,NS,ns2.chinetworks.com.
acquisory.com,SOA,ns1.chinetworks.com. support.chinetworks.com. 2025120100 10800 3600 86400 3600
acquisory.com,TXT,"MS=ms25742507"
acquisory.com,TXT,"google-site-verification=_mrE5j-E6TzVvTVDCZ19VeMhhadKvFfOtqVHQ29JO7w"
acquisory.com,TXT,"v=spf1 include:spf.protection.outlook.com -all"
contact-management.acquisory.com,A,170.178.144.136
webmail.acquisory.com,A,52.96.157.162
webmail.acquisory.com,A,52.96.191.226
webmail.acquisory.com,A,52.96.222.210
webmail.acquisory.com,A,52.96.223.2
webmail.acquisory.com,AAAA,2603:1036:304:285b::2
webmail.acquisory.com,AAAA,2603:1036:304:83c::2
webmail.acquisory.com,AAAA,2603:1036:304:85e::2
webmail.acquisory.com,AAAA,2603:1036:304:871::2
webmail.acquisory.com,CNAME,acdcatm.outlook.mira.tm.svc.cloud.microsoft.
webmail.acquisory.com,CNAME,mail.office365.com.
webmail.acquisory.com,CNAME,outlook.cloud.microsoft.
webmail.acquisory.com,CNAME,outlook.office365.com.
webmail.acquisory.com,CNAME,shed.outlook.acdc.tm.svc.cloud.microsoft.
